Key,InStock,Author,Title
"""0x0076""","""y""","""Bach, Richard""","""One"""
"""0x0077""","""y""","""Uknown""","""Karl Marx Biography"""
"""0x0078""","""y""","""Braithwaite""","""To Sir With Love"""
"""0x0079""","""n""","""Naipaul, V S""","""Half A Life"""
"""0x007A""","""y""","""Nehru, Jawaharlal""","""Discovery of India, The"""
"""0x007B""","""n""","""Deshpande, P L""","""Apulki"""
"""0x007C""","""y""","""Russell, Bertrand""","""Unpopular Essays"""
"""0x007D""","""y""","""Forsyth, Frederick""","""Deceiver, The"""
"""0x007E""","""y""","""Woodward, Bob""","""Veil: Secret Wars of the CIA"""
"""0x007F""","""y""","""Deshpande, P L""","""Char Shabda"""
"""0x0080""","""n""","""Durrell, Gerald""","""Rosy is My Relative"""
"""0x0081""","""y""","""Maugham, William S""","""Moon and Sixpence, The"""
"""0x0082""","""n""","""Uknown""","""Political Philosophers"""
"""0x0083""","""y""","""Wells, H G""","""Short History of the World, A"""
"""0x0084""","""y""","""Maugham, William S""","""Trembling of a Leaf, The"""
"""0x0085""","""y""","""Gordon, Richard""","""Doctor on the Brain"""
"""0x0086""","""y""","""Singh, Simon""","""Simpsons & Their Mathematical Secrets"""
"""0x0087""","""n""","""Duda, Hart""","""Pattern Classification"""
"""0x0088""","""y""","""Friedman, Thomas""","""From Beirut to Jerusalem"""
"""0x0089""","""n""","""Singh, Simon""","""Code Book, The"""
"""0x008A""","""y""","""Fisk, Robert""","""Age of the Warrior, The"""
"""0x008B""","""y""","""Uknown""","""Final Crisis"""
"""0x008C""","""y""","""Uknown""","""Killing Joke, The"""
"""0x008D""","""y""","""Uknown""","""Flashpoint"""
"""0x008E""","""n""","""Uknown""","""Batman Earth One"""
"""0x008F""","""y""","""Uknown""","""Crisis on Infinite Earths"""
"""0x0090""","""n""","""Devlin, Keith""","""Numbers Behind Numb3rs, The"""
"""0x0091""","""y""","""Uknown""","""Superman Earth One - 1"""
"""0x0092""","""y""","""Uknown""","""Superman Earth One - 2"""
"""0x0093""","""y""","""Uknown""","""Justice League: Throne of Atlantis"""
"""0x0094""","""y""","""Uknown""","""Justice League: The Villain's Journey"""
"""0x0095""","""n""","""Uknown""","""Death of Superman, The"""
"""0x0096""","""y""","""Uknown""","""History of the DC Universe"""
"""0x0097""","""n""","""Uknown""","""Batman: The Long Halloween"""
"""0x0098""","""y""","""Steinbeck, John""","""Life in Letters, A"""
"""0x0099""","""y""","""Gleick, James""","""Information, The"""
"""0x009A""","""y""","""Uknown""","""Journal of Economics, vol 106 No 3"""
"""0x009B""","""y""","""Thomas, Joy""","""Elements of Information Theory"""
"""0x009C""","""n""","""Rashid, Muhammad""","""Power Electronics - Rashid"""
"""0x009D""","""y""","""Mohan, Ned""","""Power Electronics - Mohan"""
"""0x009E""","""n""","""Haykin, Simon""","""Neural Networks"""
"""0x009F""","""y""","""Steinbeck, John""","""Grapes of Wrath, The"""
"""0x00A0""","""y""","""Deshpande, P L""","""Vyakti ani Valli"""
"""0x00A1""","""y""","""Vapnik, Vladimir""","""Statistical Learning Theory"""
"""0x00A2""","""y""","""Rutherford, Alex""","""Empire of the Mughal - The Tainted Throne"""
"""0x00A3""","""n""","""Rutherford, Alex""","""Empire of the Mughal - Brothers at War"""
"""0x00A4""","""y""","""Rutherford, Alex""","""Empire of the Mughal - Ruler of the World"""
"""0x00A5""","""n""","""Rutherford, Alex""","""Empire of the Mughal - The Serpent's Tooth"""
"""0x00A6""","""y""","""Rutherford, Alex""","""Empire of the Mughal - Raiders from the North"""
"""0x00A7""","""y""","""Baz-Zohar, Michael""","""Mossad"""
"""0x00A8""","""y""","""Corbett, Jim""","""Jim Corbett Omnibus"""
"""0x00A9""","""y""","""Verne, Jules""","""20000 Leagues Under the Sea"""
"""0x00AA""","""n""","""Deshpande P L""","""Batatyachi Chal"""
"""0x00AB""","""y""","""Deshpande P L""","""Hafasavnuk"""
"""0x00AC""","""n""","""Deshpande P L""","""Urlasurla"""
"""0x00AD""","""y""","""Kanetkar, Yashwant""","""Pointers in C"""
"""0x00AE""","""y""","""Raymond, Eric""","""Cathedral and the Bazaar, The"""
"""0x00AF""","""y""","""Franco, Sergio""","""Design with OpAmps"""
"""0x00B0""","""y""","""Downey, Allen""","""Think Complexity"""
"""0x00B1""","""n""","""West, Morris""","""Devil's Advocate, The"""
"""0x00B2""","""y""","""Rand, Ayn""","""Ayn Rand Answers"""
"""0x00B3""","""n""","""Rand, Ayn""","""Philosophy: Who Needs It"""
"""0x00B4""","""y""","""Uknown""","""World's Great Thinkers, The"""
"""0x00B5""","""y""","""Janert, Phillip""","""Data Analysis with Open Source Tools"""
"""0x00B6""","""y""","""Sagan, Carl""","""Broca's Brain"""
"""0x00B7""","""y""","""Bell, E T""","""Men of Mathematics"""
"""0x00B8""","""n""","""Dawkins, Richard""","""Oxford book of Modern Science Writing"""
"""0x00B9""","""y""","""Ranjan, Sudhanshu""","""Justice, Judiciary and Democracy"""
"""0x00BA""","""n""","""Kautiyla""","""Arthashastra, The"""
"""0x00BB""","""y""","""Palkhivala""","""We the People"""
"""0x00BC""","""y""","""Palkhivala""","""We the Nation"""
"""0x00BD""","""y""","""Sorabjee""","""Courtroom Genius, The"""
"""0x00BE""","""y""","""Zaidi, Hussain""","""Dongri to Dubai"""
"""0x00BF""","""n""","""Ackroyd, Peter""","""History of England, Foundation"""
"""0x00C0""","""y""","""Dalrymple, William""","""City of Djinns"""
"""0x00C1""","""n""","""Nariman""","""India's Legal System"""
"""0x00C2""","""y""","""Sassoon, Jean""","""More Tears to Cry"""
"""0x00C3""","""y""","""Dickinson, Peter""","""Ropemaker, The"""
"""0x00C4""","""y""","""Brown, Dan""","""Angels & Demons"""
"""0x00C5""","""y""","""Uknown""","""Judge, The"""
"""0x00C6""","""n""","""Uknown""","""Attorney, The"""
"""0x00C7""","""y""","""Machiavelli""","""Prince, The"""
"""0x00C8""","""n""","""Huxley, Aldous""","""Eyeless in Gaza"""
"""0x00C9""","""y""","""Rowling, J K""","""Tales of Beedle the Bard"""
"""0x00CA""","""y""","""Larsson, Steig""","""Girl with the Dragon Tattoo"""
"""0x00CB""","""y""","""Larsson, Steig""","""Girl who kicked the Hornet's Nest"""
"""0x00CC""","""y""","""Larsson, Steig""","""Girl who played with Fire"""
"""0x00CD""","""n""","""Uknown""","""Batman Handbook"""
"""0x00CE""","""y""","""Uknown""","""Murphy's Law"""
"""0x00CF""","""n""","""Tao, Terence""","""Structure and Randomness"""
"""0x00D0""","""y""","""Eddins, Steve""","""Image Processing with MATLAB"""
"""0x00D1""","""y""","""Orwell, George""","""Animal Farm"""
"""0x00D2""","""y""","""Dostoevsky, Fyodor""","""Idiot, The"""
"""0x00D3""","""n""","""Dickens, Charles""","""Christmas Carol, A"""
"""0x00D4""","""y""","""Rowling, J K""","""Harry Potter and the Philosopher's Stone"""
"""0x00D5""","""y""","""Rowling, J K""","""Harry Potter and the Chamber of Secrets"""
"""0x00D6""","""y""","""Rowling, J K""","""Harry Potter and the Prisoner of Azkaban"""
"""0x00D7""","""y""","""Rowling, J K""","""Harry Potter and the Goblet of Fire"""
"""0x00D8""","""y""","""Rowling, J K""","""Harry Potter and the Order of the Phoenix"""
"""0x00D9""","""y""","""Rowling, J K""","""Harry Potter and the Half-Blood Prince"""
"""0x00DA""","""y""","""Rowling, J K""","""Harry Potter and the Deathly Hallows"""
